FIPS,Name,State
PRT_nan,Portugal,
PRY_nan,Paraguay,
PSE_nan,Palestine,
QAT_nan,Qatar,
RKS_nan,Kosovo,
ROU_nan,Romania,
RUS_nan,Russia,
RWA_nan,Rwanda,
SAU_nan,Saudi Arabia,
SDN_nan,Sudan,
SEN_nan,Senegal,
SGP_nan,Singapore,
SLB_nan,Solomon Islands,
SLE_nan,Sierra Leone,
SLV_nan,El Salvador,
SMR_nan,San Marino,
SOM_nan,Somalia,
SRB_nan,Serbia,
SSD_nan,South Sudan,
SUR_nan,Suriname,
SVK_nan,Slovak Republic,
SVN_nan,Slovenia,
SWE_nan,Sweden,
SWZ_nan,Eswatini,
SYC_nan,Seychelles,
SYR_nan,Syria,
TCA_nan,Turks and Caicos Islands,
TCD_nan,Chad,
TGO_nan,Togo,
THA_nan,Thailand,
TJK_nan,Tajikistan,
TKM_nan,Turkmenistan,
TLS_nan,Timor-Leste,
TTO_nan,Trinidad and Tobago,
TUN_nan,Tunisia,
TUR_nan,Turkey,
TWN_nan,Taiwan,
TZA_nan,Tanzania,
UGA_nan,Uganda,
UKR_nan,Ukraine,
URY_nan,Uruguay,
USA_nan,United States,
USA_US_AK,United States,US_AK
USA_US_AL,United States,US_AL
USA_US_AR,United States,US_AR
USA_US_AZ,United States,US_AZ
USA_US_CA,United States,US_CA
USA_US_CO,United States,US_CO
USA_US_CT,United States,US_CT
USA_US_DC,United States,US_DC
USA_US_DE,United States,US_DE
USA_US_FL,United States,US_FL
USA_US_GA,United States,US_GA
USA_US_HI,United States,US_HI
USA_US_IA,United States,US_IA
USA_US_ID,United States,US_ID
USA_US_IL,United States,US_IL
USA_US_IN,United States,US_IN
USA_US_KS,United States,US_KS
USA_US_KY,United States,US_KY
USA_US_LA,United States,US_LA
USA_US_MA,United States,US_MA
USA_US_MD,United States,US_MD
USA_US_ME,United States,US_ME
USA_US_MI,United States,US_MI
USA_US_MN,United States,US_MN
USA_US_MO,United States,US_MO
USA_US_MS,United States,US_MS
USA_US_MT,United States,US_MT
USA_US_NC,United States,US_NC
USA_US_ND,United States,US_ND
USA_US_NE,United States,US_NE
USA_US_NH,United States,US_NH
USA_US_NJ,United States,US_NJ
USA_US_NM,United States,US_NM
USA_US_NV,United States,US_NV
USA_US_NY,United States,US_NY
USA_US_OH,United States,US_OH
USA_US_OK,United States,US_OK
USA_US_OR,United States,US_OR
USA_US_PA,United States,US_PA
USA_US_RI,United States,US_RI
USA_US_SC,United States,US_SC
USA_US_SD,United States,US_SD
USA_US_TN,United States,US_TN
USA_US_TX,United States,US_TX
USA_US_UT,United States,US_UT
USA_US_VA,United States,US_VA
USA_US_VI,United States,US_VI
USA_US_VT,United States,US_VT
USA_US_WA,United States,US_WA
USA_US_WI,United States,US_WI
USA_US_WV,United States,US_WV
USA_US_WY,United States,US_WY
UZB_nan,Uzbekistan,
VEN_nan,Venezuela,
VGB_nan,British Virgin Islands,
VIR_nan,United States Virgin Islands
VNM_nan,Vietnam,
VUT_nan,Vanuatu,
YEM_nan,Yemen,
ZAF_nan,South Africa,
ZMB_nan,Zambia,
ZWE_nan,Zimbabwe,
